run_id,run_name,eval/id_acc_macro,eval/casa_acc8_holdout,eval/casa_cavg20_holdout,eval/step,eval/casa_acc,eval/casa_acc8,_runtime,eval/casa_cavg8,diagnostics/loss_plot,eval/casa_cavg8_holdout,eval/off_set_holdout,_timestamp,eval/layer_mix_argmax,eval/gap_holdout,eval/gap,eval/off_set,eval/casa_cavg20,_step,eval/id_acc,eval/madis_overall,eval/casa_acc_holdout,eval/id_cavg
y1g9tomr,v3_lm_casatr_casavf20_6k_cohere-ar,76.70199885964394,78.2576858997345,0.07288149335503379,400.0,74.34402108192444,81.19533658027649,335.318565752,0.15915891074097996,,0.18125135381151486,10.54172767203514,1785310978.6666713,10.0,0.21506547927856445,-1.800990104675293,10.932944606413994,0.06561897537674259,400,72.54303097724915,80.5450416351249,72.32796549797058,0.16248504974722308
y1g9tomr,v3_lm_casatr_casavf20_6k_cohere-ar,,,,,,,808.57124821,,"{'sha256': '0883e90f7d69fa0940101a55d0628144870ef253989b99910df6e8fffcdfdaaf', 'size': 256661, 'width': 1210, '_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_400_0883e90f7d69fa094010.png'}",,,1785311014.0613909,,,,,,500,,,,
y1g9tomr,v3_lm_casatr_casavf20_6k_cohere-ar,80.29698632657528,84.77305769920349,0.05558202348123208,800.0,82.21574425697327,86.73469424247742,1040.011872784,0.11984566306144062,,0.1354043756158007,8.56515373352855,1785311487.3141346,6.0,-3.780043125152588,-6.054353713989258,7.725947521865889,0.0509175055169701,800,76.16139054298401,76.68433005299016,79.9414336681366,0.13116202384592102
y1g9tomr,v3_lm_casatr_casavf20_6k_cohere-ar,,,,,,,1386.517777605,,"{'_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_800_09e89e561d1d9ee6f7b4.png', 'sha256': '09e89e561d1d9ee6f7b4ffbe28487666d6697b462f87ab7af006773642836c57', 'size': 302124, 'width': 1210}",,,1785311718.7547286,,,,,,1000,,,,
y1g9tomr,v3_lm_casatr_casavf20_6k_cohere-ar,83.56100425124168,89.53148126602173,0.04245928686766434,1200.0,83.67347121238708,91.18075966835022,1722.223557054,0.08823303108268266,,0.10300397691780727,9.370424597364568,1785312065.2606637,5.0,-1.8237769603729248,-2.773970365524292,9.183673469387756,0.03883880905185717,1200,80.8995008468628,74.16098914963412,82.72327780723572,0.10309439451244932
y1g9tomr,v3_lm_casatr_casavf20_6k_cohere-ar,,,,,,,1957.056956722,,"{'_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_1200_898288c14a3bec96a7f1.png', 'sha256': '898288c14a3bec96a7f1965b9c0e79b4f5fa99bf12a90b70ec9f46a9355e43c8', 'size': 341380, 'width': 1210}",,,1785312400.9664118,,,,,,1500,,,,
y1g9tomr,v3_lm_casatr_casavf20_6k_cohere-ar,86.29514127969742,91.28843545913696,0.036027390389757157,1600.0,85.71428656578064,91.39941930770874,2406.558075281,0.06972107294242684,,0.07563851126872512,8.345534407027818,1785312635.7998202,3.0,-0.5918145179748535,-1.0205984115600586,8.16326530612245,0.034225227812972346,1600,84.69368815422058,73.00025233409033,85.28550267219543,0.08321616199126926
y1g9tomr,v3_lm_casatr_casavf20_6k_cohere-ar,87.69657105207443,92.09370613098145,0.03229650774992757,2000.0,88.19242119789124,92.05539226531982,3105.92731399,0.0649120259350062,"{'size': 369009, 'width': 1210, '_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_1600_83c56fddb0292fab04d7.png', 'sha256': '83c56fddb0292fab04d7b29b0d6c0b690a378c5aef5a89a070cc38ee1a989de9'}",0.0700642515401896,7.174231332357247,1785313210.9834692,3.0,-1.5907585620880127,-2.813929319381714,5.830903790087463,0.03183364672142231,2000,85.37849187850952,73.17688619732526,86.96925044059753,0.07940698053209311
y1g9tomr,v3_lm_casatr_casavf20_6k_cohere-ar,89.80839014053345,93.99707317352295,0.0267292304013153,2400.0,88.70262503623962,94.09620761871338,3220.062927459,0.05425923931736091,,0.05468023292405341,6.734992679355783,1785313784.669864,48.0,-0.4108548164367676,-0.09444355964660645,7.142857142857142,0.02639953142615991,2400,88.60818147659302,76.55816300782236,89.01903629302979,0.06588604427878812
y1g9tomr,v3_lm_casatr_casavf20_6k_cohere-ar,,,,,,,3679.468459311,,"{'height': 2090, 'path': 'media/images/diagnostics/loss_plot_2400_9f5ce90e2f20638f4da3.png', 'sha256': '9f5ce90e2f20638f4da304000b5267e124d072329a399f33247879e83910e6e9', 'size': 381279, 'width': 1210, '_type': 'image-file', 'format': 'png'}",,,1785313898.8058388,,,,,,2500,,,,
