run_id,run_name,eval/casa_cavg8,eval/layer_mix_argmax,eval/casa_acc8_holdout,eval/off_set,eval/casa_acc8,eval/casa_cavg20,eval/off_set_holdout,eval/gap,_timestamp,eval/madis_overall,eval/casa_cavg20_holdout,eval/casa_acc_holdout,eval/casa_cavg8_holdout,_runtime,_step,eval/id_acc,eval/gap_holdout,eval/step,eval/id_cavg,eval/casa_acc,eval/id_acc_macro,diagnostics/loss_plot
qz0n5dzb,v3_lm_final_noreverb_codec_cohere-ar,0.3153250516163515,10.0,65.43900966644287,27.123608670181603,63.649678230285645,0.1386758748789219,27.018267530936946,22.214162349700928,1785260303.1924748,76.98713096139288,0.1323914224190379,53.3588707447052,0.3032159916235298,1367.833059984,400,74.79178309440613,21.432912349700928,400.0,0.1447331367565759,52.5776207447052,77.8044918179512,
qz0n5dzb,v3_lm_final_noreverb_codec_cohere-ar,,,,,,,,,1785260352.7421765,,,,,1975.537861657,500,,,,,,,"{'sha256': '540e0d13c47da1e287f347007326db8ea7e123c234ca60106593b09fbfb18e53', 'size': 260879, 'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_400_540e0d13c47da1e287f3.png'}"
qz0n5dzb,v3_lm_final_noreverb_codec_cohere-ar,0.3003519469740112,10.0,68.0612862110138,23.25717633274751,65.99296927452087,0.1269514895683374,23.482616381850324,21.790915727615356,1785260960.447009,75.95256119101691,0.1212638617405664,59.222155809402466,0.2837126841629188,2262.916380823,800,79.64094281196594,20.418787002563477,800.0,0.11726394444502791,57.850027084350586,80.96147201955318,
qz0n5dzb,v3_lm_final_noreverb_codec_cohere-ar,,,,,,,,,1785261247.8256686,,,,,2700.214573983,1000,,,,,,,"{'size': 305084, 'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_800_0bb84a7dfc481b10e521.png', 'sha256': '0bb84a7dfc481b10e5219d2cb3b0a52928947632ea6504f536fcf2a7aeff3ef8'}"
qz0n5dzb,v3_lm_final_noreverb_codec_cohere-ar,0.28883940931972896,6.0,69.65232491493225,23.110720562390156,67.51611232757568,0.11726110835550602,24.749558043606363,22.985506057739258,1785261685.1237516,75.29649255614433,0.11504322177252334,59.98821258544922,0.2836415687391127,3116.571818968,1200,82.59300589561462,22.604793310165405,1200.0,0.09342265578488029,59.607499837875366,83.00758212804794,
qz0n5dzb,v3_lm_final_noreverb_codec_cohere-ar,,,,,,,,,1785262101.480986,,,,,3416.290948779,1500,,,,,,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_1200_6fd2345a6479a0be75c5.png', 'sha256': '6fd2345a6479a0be75c51d6c7295e9ce6dcc4220dfa6a9af9b2c7a5595851827', 'size': 341609, 'height': 2090, 'width': 1210}"
qz0n5dzb,v3_lm_final_noreverb_codec_cohere-ar,0.2687544933590945,6.0,72.62817025184631,25.629759812536612,71.4704155921936,0.11745627080372648,25.928108426635237,23.538506031036377,1785262401.1993763,72.84885187988898,0.11727244241005845,61.81496977806091,0.2644793604052912,3969.44888061,1600,84.96205806732178,23.147088289260864,1600.0,0.08509302093007215,61.4235520362854,86.65919631719589,
qz0n5dzb,v3_lm_final_noreverb_codec_cohere-ar,0.2710715653339528,5.0,72.83441424369812,21.558289396602227,69.91798281669617,0.10981272640113096,21.950500883912788,26.233065128326416,1785263117.1463015,72.62175119858692,0.10479748771543067,62.8462016582489,0.2519454784579227,4841.756015218,2000,87.80307173728943,24.956870079040527,2000.0,0.07190932946077641,61.57000660896301,88.6738857626915,"{'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_1600_e7f6effd5b58b2267910.png', 'sha256': 'e7f6effd5b58b22679100c322ed4f5a6cdf58252f98f672cb543882960c7bb8b', 'size': 367587}"
qz0n5dzb,v3_lm_final_noreverb_codec_cohere-ar,0.27118665094044286,5.0,73.30583333969116,25.98125366139426,71.49970531463623,0.11352425788818837,25.57454331172658,28.10528874397278,1785263826.6650038,75.0693918748423,0.11264342625356043,62.31585144996643,0.2659485516194302,4978.530800278,2400,89.26522135734558,26.94936990737915,2400.0,0.06773138093935524,61.1599326133728,89.93174225091934,
qz0n5dzb,v3_lm_final_noreverb_codec_cohere-ar,,,,,,,,,1785263963.4400012,,,,,5543.06294269,2500,,,,,,,"{'path': 'media/images/diagnostics/loss_plot_2400_55be5d2f46e16492ba44.png', 'sha256': '55be5d2f46e16492ba4422f6076e17e775558a424aac45c859e271e02bd8cf6b', 'size': 370940, 'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png'}"
