run_id,run_name,eval/gap_holdout,eval/off_set_holdout,eval/layer_mix_argmax,eval/gap,eval/id_cavg,_step,eval/casa_acc8,eval/id_acc,eval/casa_cavg20_holdout,_runtime,eval/id_acc_macro,eval/madis_overall,eval/casa_cavg8_holdout,eval/off_set,eval/casa_acc_holdout,diagnostics/loss_plot,_timestamp,eval/casa_cavg8,eval/step,eval/casa_acc8_holdout,eval/casa_acc,eval/casa_cavg20
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,4.857140779495239,14.73187978786093,10.0,6.140637397766113,0.15746478113351037,400,76.71353220939636,73.94965887069702,0.07091156831821224,376.990699076,77.31680005788803,80.77214231642695,0.179080903552241,14.616285881663737,69.09251809120178,,1785282663.0302603,0.19032366000651643,400.0,78.66823673248291,67.80902147293091,0.07677678335528537
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,,,,,,500,,,,867.137008452,,,,,,"{'_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_400_85cd45f1b322ac9d94cf.png', 'sha256': '85cd45f1b322ac9d94cf21aae75d3fb1e9b0587184846ddb9233c05cdc7734a6', 'size': 258934, 'width': 1210}",1785282700.7220414,,,,,
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,1.2150943279266357,10.813199764289923,6.0,2.5753438472747803,0.12484324835355395,800,83.04042220115662,78.41014266014099,0.0546598199642748,1092.794091294,82.2328333556652,76.98713096139288,0.12909497628787467,11.013473930872877,77.19504833221436,,1785283190.868315,0.14567755653151038,800.0,84.61991548538208,75.83479881286621,0.0579669443458662
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,,,,,,1000,,,,1465.000303726,,,,,,"{'width': 1210, '_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_800_c61f927fada60726c6a5.png', 'sha256': 'c61f927fada60726c6a5695bc354ee965640f50a5efbb269ee28f9b4a35720c6', 'size': 302489}",1785283416.5254438,,,,,
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,-2.6558995246887207,10.842663523865644,5.0,-1.7018795013427734,0.10375136028874857,1200,89.3966019153595,80.1961898803711,0.04461661393991879,1802.833987239,83.38184505701065,74.28715619480192,0.08658888715298735,10.749853544229643,82.85208940505981,,1785283788.7313678,0.09587665978100268,1200.0,90.83676934242249,81.89806938171387,0.04678654136569278
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,,,,,,1500,,,,2063.388956182,,,,,,"{'path': 'media/images/diagnostics/loss_plot_1200_1a83b0b4f5b7fc0764b7.png', 'sha256': '1a83b0b4f5b7fc0764b7607b2d8679fd959bb9841e3e46da74033617249ecaf2', 'size': 342804, 'width': 1210, '_type': 'image-file', 'format': 'png', 'height': 2090}",1785284126.565321,,,,,
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,1.5858829021453857,11.196228638774308,3.0,2.9203474521636963,0.08199256376006003,1600,90.12888073921204,84.37904715538025,0.03944674487527576,2509.255722216,86.81918323040009,74.31238960383548,0.07969006934639551,11.804335090802578,82.79316425323486,,1785284387.1201472,0.08417584909302893,1600.0,91.69121980667114,81.45869970321655,0.04096373789108472
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,1.6895115375518799,11.284619917501473,3.0,3.2939791679382324,0.08610930102198959,2000,91.68131351470947,85.57283282279968,0.03642261144817453,3261.791654729,87.4721747636795,75.17032551097654,0.064497279650221,11.892208553016989,83.8833212852478,"{'_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_1600_b425c6f1d799958534a6.png', 'sha256': 'b425c6f1d799958534a6eaea445bc5a765bc19bba5a872ab8a3578cff0b9e3e9', 'size': 371629, 'width': 1210}",1785284981.4475248,0.070490441716028,2000.0,92.63405799865723,82.27885365486145,0.037503229397051835
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,-1.1859893798828125,5.391868002357101,48.0,-1.3668417930603027,0.07674287490431055,2400,92.50146746635437,87.94188499450684,0.02738132083937022,3376.373102121,88.97446304559708,70.779712339137,0.06039199918271515,4.89162272993556,89.12787437438965,,1785285585.522987,0.0703225055315506,2400.0,92.98762679100037,89.30872678756714,0.029832837270419646
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,,,,,,2500,,,,3858.571094644,,,,,,"{'sha256': '71e1919aaf998909eb6dfa0df42a36949fa1494e3462606d83579875688a4557', 'size': 385498, 'width': 1210, '_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_2400_71e1919aaf998909eb6d.png'}",1785285700.1044269,,,,,
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,-0.6267189979553223,7.955215085444903,48.0,-0.31566619873046875,0.07017020937717175,2800,93.70239973068237,87.46992349624634,0.029305754421285846,4082.77712218,89.40048813819885,75.09462528387584,0.05181260039889935,8.025776215582894,88.09664249420166,,1785286182.3020773,0.05786888119364686,2800.0,94.25456523895264,87.7855896949768,0.030880713441510672
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,,,,,,3000,,,,4455.853632642,,,,,,"{'_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_2800_c2dd9bead24d7f40aa6d.png', 'sha256': 'c2dd9bead24d7f40aa6d53635fab267aef112d04ca2f5bd77b58556975122e44', 'size': 403345, 'width': 1210}",1785286406.5084622,,,,,
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,0.04003643989562988,5.657041838538598,48.0,1.4753758907318115,0.05776907049149431,3200,93.02870631217957,90.05182385444641,0.023828544125823917,4788.04370319,91.05614334344864,75.59929346454706,0.05070026641363632,5.8582308142940835,90.01178741455078,,1785286779.5849657,0.05438938352041814,3200.0,94.19564008712769,88.5764479637146,0.025734785313401003
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,,,,,,3500,,,,5050.890158678,,,,,,"{'width': 1210, '_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_3200_7497b6d3787879e95fbe.png', 'sha256': '7497b6d3787879e95fbebd4d4fbdffc24054e0a99513a9fc714919d829bbb872', 'size': 421771}",1785287111.7750275,,,,,
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,-1.4446496963500977,4.773129051266942,48.0,-0.8527159690856934,0.05719473925888927,3600,93.96602511405945,89.59836959838867,0.02144835835176803,5503.096535557,90.91438084840775,77.79460005046683,0.04719730386436435,4.715875805506737,91.04301929473877,,1785287374.6211126,0.053119011327274764,3600.0,94.78491544723511,90.45108556747437,0.023587187829665957
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,-0.18227100372314453,5.421331761932822,48.0,-0.2681732177734375,0.05242454090933496,4000,93.81956458091736,90.15361666679382,0.02303540066196008,6245.120266588,91.49818480014801,73.80772142316428,0.04577011376224703,4.92091388400703,90.33588767051697,"{'size': 436777, 'width': 1210, '_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_3600_d011eb5b84db7ca554ac.png', 'sha256': 'd011eb5b84db7ca554aceeddebcc8fc3a55325a8ef1d0176a32f96c2f470e1c7'}",1785287975.2463377,0.05306954396514171,4000.0,94.37242150306702,90.42178988456726,0.024667743575502686
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,-0.588911771774292,5.598114319387154,48.0,0.938957929611206,0.05687513928880854,4400,93.81956458091736,90.21839499473572,0.023107455043617685,6356.730936626,91.11759841442108,76.12919505425182,0.04230484671033193,6.151142355008787,90.80730676651001,,1785288568.8512616,0.051348676286689265,4400.0,94.87330317497253,89.27943706512451,0.02393441352388471
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,,,,,,4500,,,,6841.714827968,,,,,,"{'sha256': 'ddd1f0ae30c9b609d59b8cbd7cbc4c1a1da4754d820cfe25c55dc912b8502cda', 'size': 435407, 'width': 1210, '_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_4400_ddd1f0ae30c9b609d59b.png'}",1785288680.462301,,,,,
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,-0.2484142780303955,5.421331761932822,48.0,0.22704005241394043,0.05033320277776436,4800,94.78617310523987,90.91245532035828,0.02107984929711846,7068.788331415,92.09798902273178,76.55816300782236,0.03824610056956161,5.4774458113649676,91.16086959838867,,1785289165.4460514,0.04353899307027205,4800.0,95.05009055137634,90.68541526794434,0.023584847991010113
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,,,,,,5000,,,,7439.481234703,,,,,,"{'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_4800_9cbd1445e62b5855c9f9.png', 'sha256': '9cbd1445e62b5855c9f9a9be716d55e1fd40bc5a24ef8eea10d1ed36c6253a2e', 'size': 450570, 'width': 1210, '_type': 'image-file'}",1785289392.5196686,,,,,
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,-0.23406147956848145,5.774896876841485,48.0,0.12371540069580078,0.05135222640347421,5200,94.69830393791199,90.83842039108276,0.02152720765418295,7776.046463863,92.00157970190048,76.25536209941963,0.03837378303983336,5.360281195079086,91.07248187065125,,1785289763.2126095,0.042911823037022324,5200.0,95.403653383255,90.71470499038696,0.023802254001656566
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,,,,,,5500,,,,8035.171966353,,,,,,"{'size': 458668, 'width': 1210, '_type': 'image-file', 'format': 'png', 'height': 2090, 'path': 'media/images/diagnostics/loss_plot_5200_2a1554b7e813e26630d8.png', 'sha256': '2a1554b7e813e26630d8d13474027a9188924a02dbfe849d29c4348668bf8134'}",1785290099.7778156,,,,,
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,0.0420689582824707,5.892751915144372,48.0,0.6910324096679688,0.05183421592141714,5600,94.61042881011963,90.81991314888,0.022205653684881147,8483.98718052,91.8911150097847,76.88619732525865,0.04135411318850786,6.004686584651435,90.77784419059753,,1785290358.9029741,0.04419341372141729,5600.0,95.1090157032013,90.12888073921204,0.02386520489148756
fpb1gp1x,v3_lm_casatr_v5_casa_shortcrop_cohere-ar,-0.5917727947235107,5.480259281084266,48.0,0.11905431747436523,0.05212860918103002,6000,94.93262767791748,90.74588418006897,0.02121246586600327,8632.349839929,91.85475707054138,76.73479687105727,0.040320107076228115,5.682483889865261,91.33765697479248,"{'path': 'media/images/diagnostics/loss_plot_5600_1dc1062e78276265713f.png', 'sha256': '1dc1062e78276265713f323e7734d789de4d339c6b040b27b42643d751e77eac', 'size': 466142, 'width': 1210, '_type': 'image-file', 'format': 'png', 'height': 2090}",1785290955.4124053,0.043429106103137965,6000.0,95.3152596950531,90.6268298625946,0.022847974698373498
