run_id,run_name,_runtime,eval/casa_acc,eval/casa_acc_holdout,_step,eval/casa_cavg20,eval/id_acc,eval/gap_holdout,eval/casa_acc8_holdout,diagnostics/loss_plot,eval/id_cavg,eval/madis_overall,eval/step,eval/casa_cavg8,eval/id_acc_macro,eval/off_set_holdout,eval/gap,eval/casa_acc8,_timestamp,eval/off_set,eval/layer_mix_argmax,eval/casa_cavg8_holdout,eval/casa_cavg20_holdout
7lheg7qb,v3_lm_cohere-ar,589.406073662,51.58172249794006,52.20978260040283,400,0.1452080874796653,74.51415657997131,22.30437397956848,66.20506644248962,,0.15105466658572425,78.22356800403735,400.0,0.31982922260599017,77.01597914099693,29.375368296994697,22.93243408203125,64.05975222587585,1785171178.5010314,28.910369068541304,10.0,0.307125176399482,0.13949828708434953
7lheg7qb,v3_lm_cohere-ar,1399.183068671,,,500,,,,,"{'width': 1210, '_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_400_640ed635e323c2e7943d.png', 'sha256': '640ed635e323c2e7943dcaaafcc031551d50f4279e2263ba7dee4f872f94d1f3', 'size': 266170, 'height': 2090}",,,,,,,,,1785171253.126093,,,,
7lheg7qb,v3_lm_cohere-ar,1786.820977418,52.02109217643738,52.29817032814026,800,0.14120290332815136,77.74384617805481,25.44567584991455,64.0836775302887,,0.1235655404800597,74.99369164774161,800.0,0.3388780848334403,80.34432202577591,27.754861520329992,25.72275400161743,63.03456425666809,1785172062.9028907,26.947861745752782,10.0,0.3243865477218963,0.13445473782032236
7lheg7qb,v3_lm_cohere-ar,2382.754981141,,,1000,,,,,"{'path': 'media/images/diagnostics/loss_plot_800_3781c5d11972f57141c0.png', 'sha256': '3781c5d11972f57141c009372656cfb9cd4442933b1397bf3f60e73cdbbadc79', 'size': 315808, 'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png'}",,,,,,,,,1785172450.5411115,,,,
7lheg7qb,v3_lm_cohere-ar,2957.079088474,55.47744631767273,55.48025965690613,1200,0.12491789566745264,79.66870069503784,24.188441038131714,66.44077897071838,,0.1107153794907232,74.69089073933888,1200.0,0.30736594418900504,81.763486713171,24.6611667648792,24.191254377365112,65.55360555648804,1785173046.4747598,24.282366725248973,6.0,0.2961577245902781,0.11899602083978364
7lheg7qb,v3_lm_cohere-ar,3350.949119943,,,1500,,,,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_1200_d16a471efd9e51bf3308.png', 'sha256': 'd16a471efd9e51bf3308ed2e0d032c0688e701cde33ea80d7d27e4fc922ac8be', 'size': 351371, 'height': 2090, 'width': 1210}",,,,,,,,,1785173620.7992003,,,,
7lheg7qb,v3_lm_cohere-ar,4126.699015303,57.32278823852539,57.4543297290802,1600,0.12445326025054852,82.92615413665771,25.471824407577515,70.27106881141663,,0.09808589294026167,77.66843300529902,1600.0,0.28482603081019664,83.89986276626587,28.196817913965823,25.603365898132324,68.30697059631348,1785174014.6686938,27.738722905682483,6.0,0.2735225051757263,0.12011743650116721
7lheg7qb,v3_lm_cohere-ar,5324.592155673,61.59929633140564,61.69711351394653,2000,0.10531786628956338,84.49009656906128,22.792983055114746,74.8968780040741,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_1600_43012599d3053e567d81.png', 'sha256': '43012599d3053e567d81ef8b253364e03098a6183af9e91ec066dc29d0286dc5', 'size': 373659, 'height': 2090, 'width': 1210}",0.08952226327891158,76.68433005299016,2000.0,0.23498086599093604,85.78222185373306,26.812021213906895,22.89080023765564,72.96426296234131,1785174996.4217832,25.2489748096075,5.0,0.22004574112226669,0.09930860459817219
7lheg7qb,v3_lm_cohere-ar,5511.434297628,59.28529500961304,60.1944625377655,2400,0.1164446545324449,85.1378858089447,24.9434232711792,72.21567630767822,,0.08355654079540571,76.20489528135252,2400.0,0.2699456300994073,86.95353090763092,27.725397760754273,25.852590799331665,70.32806277275085,1785175988.311957,26.59636789689514,5.0,0.2541841596966973,0.11038835885942325
7lheg7qb,v3_lm_cohere-ar,6291.12639742,,,2500,,,,,"{'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_2400_7f0f8c14b855ae65a12b.png', 'sha256': '7f0f8c14b855ae65a12bbac433a138270308e3d696d3c52251dab7ed9672a35c', 'size': 385902}",,,,,,,,,1785176175.1543994,,,,
