run_id,run_name,eval/casa_acc_holdout,eval/step,eval/gap_holdout,eval/off_set_holdout,eval/gap,eval/id_acc,eval/casa_acc,_step,_runtime,eval/casa_cavg20_holdout,eval/id_cavg,_timestamp,eval/off_set,eval/casa_cavg8,eval/id_acc_macro,eval/madis_overall,eval/casa_cavg8_holdout,eval/casa_cavg20,eval/layer_mix_argmax,diagnostics/loss_plot,eval/casa_acc8_holdout,eval/casa_acc8
7pyyby2a,v3_lm_llrd1_cohere-ar,52.20978260040283,400.0,22.30437397956848,29.375368296994697,22.93243408203125,74.51415657997131,51.58172249794006,400,586.390659506,0.13949828708434953,0.15105466658572425,1785221235.5038762,28.910369068541304,0.31982922260599017,77.01597914099693,78.22356800403735,0.307125176399482,0.1452080874796653,10.0,,66.20506644248962,64.05975222587585
7pyyby2a,v3_lm_llrd1_cohere-ar,,,,,,,,500,1388.401128527,,,1785221307.6109855,,,,,,,,"{'sha256': 'c836042daeafe650fa8ce17188f9f7515e48f305f396e8ce4a6841d54d4fc411', 'size': 266755, 'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_400_c836042daeafe650fa8c.png'}",,
7pyyby2a,v3_lm_llrd1_cohere-ar,54.832059144973755,800.0,23.133885860443115,27.106658809664115,23.27936291694641,77.96594500541687,54.68658208847046,800,1766.925027422,0.12695245640792222,0.11935715286204777,1785222109.6214359,27.38722905682484,0.31038311758236947,81.0324415564537,73.40398687862731,0.2901351069421814,0.1335801410143312,10.0,,66.79434180259705,65.61218500137329
7pyyby2a,v3_lm_llrd1_cohere-ar,,,,,,,,1000,2347.148672839,,,1785222488.1453376,,,,,,,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_800_61e834126c1c4cd1dfbd.png', 'sha256': '61e834126c1c4cd1dfbd1ab2c8e69eba2d38c6ab7536310451cee11664dfdf5d', 'size': 312642, 'height': 2090, 'width': 1210}",,
7pyyby2a,v3_lm_llrd1_cohere-ar,59.31054949760437,1200.0,22.56063222885132,25.427224513847968,22.175806760787964,81.87118172645569,59.695374965667725,1200,2905.564067837,0.10436541117773568,0.09682789999085958,1785223068.3688972,24.048037492677214,0.25319355079843814,84.07187700271606,76.30582891748675,0.2452342773581003,0.10771197224438805,6.0,,72.09782004356384,70.06444334983826
7pyyby2a,v3_lm_llrd1_cohere-ar,,,,,,,,1500,3302.888017362,,,1785223626.784442,,,,,,,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_1200_56b8b8cd26ac3bef1f4f.png', 'sha256': '56b8b8cd26ac3bef1f4f4ba29fa03b35858be60cf141c68b42a92816f1376571', 'size': 348511, 'height': 2090, 'width': 1210}",,
7pyyby2a,v3_lm_llrd1_cohere-ar,57.80789852142334,1600.0,27.57059335708618,29.080730701237478,27.762794494628906,85.37849187850952,57.615697383880615,1600,4032.276369122,0.12407817893425174,0.08601101564709238,1785224024.1082718,28.705330990041006,0.29258763720819736,85.35436138510704,76.68433005299016,0.277426066039412,0.12727367606745774,5.0,,70.62463164329529,69.50790882110596
7pyyby2a,v3_lm_llrd1_cohere-ar,61.932820081710815,2000.0,25.185447931289673,28.66823806717737,25.577551126480103,87.11826801300049,61.540716886520386,2000,5202.808701332,0.10253731265476852,0.07463364011504102,1785224968.8397353,28.207381370826013,0.20231174151902154,89.09882932901382,74.31238960383548,0.19231576168766704,0.1065290895696855,5.0,"{'size': 368588, 'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_1600_e4bb21057340d6b81ed6.png', 'sha256': 'e4bb21057340d6b81ed673af7d666e94c4eef41126c67745b10456851ff9d55d'}",77.48968601226807,76.24487280845642
7pyyby2a,v3_lm_llrd1_cohere-ar,61.96228861808777,2400.0,27.025312185287476,27.018267530936946,27.476179599761963,88.98760080337524,61.51142120361328,2400,5385.063077796,0.11105244168711056,0.06593487056856859,1785225924.0289898,26.15700058582308,0.25857753460869043,90.0253090262413,76.76003028009085,0.24630363660877938,0.11344807821033681,5.0,,73.33529591560364,71.82191014289856
7pyyby2a,v3_lm_llrd1_cohere-ar,,,,,,,,2500,6145.912344032,,,1785226106.2834082,,,,,,,,"{'format': 'png', 'path': 'media/images/diagnostics/loss_plot_2400_64a07a2e9a806717b9c5.png', 'sha256': '64a07a2e9a806717b9c56f066687fc5a4b0f3db105e6d7a33323a46f9a7b2ef6', 'size': 379693, 'height': 2090, 'width': 1210, '_type': 'image-file'}",,
7pyyby2a,v3_lm_llrd1_cohere-ar,63.84796500205994,2800.0,23.76077175140381,24.72009428403064,24.251967668533325,87.60873675346375,63.35676908493042,2800,6523.008458886,0.10851516988246741,0.06888137807334585,1785226867.132642,24.809607498535442,0.2509549071258604,89.35285866260529,77.13853141559424,0.24355966811686047,0.11157131846104637,5.0,,74.57277774810791,73.43292236328125
