run_id,run_name,eval/gap,eval/madis_overall,eval/id_acc,eval/casa_acc,eval/casa_cavg8,eval/casa_cavg20,diagnostics/loss_plot,_runtime,_timestamp,eval/off_set,_step,eval/step,eval/id_cavg
d0c2f96b,llrd_stable_bf16_cohere-ar,19.472840428352356,78.8291698208428,68.59152317047119,49.118682742118835,0.30439214852730095,0.13952509878085761,,645.316504415,1785137083.341074,31.800822561692126,1500,1500,0.19248704687424306
d0c2f96b,llrd_stable_bf16_cohere-ar,20.792007446289062,76.00302800908403,77.22561359405518,56.43360614776611,0.2906381261661511,0.12247181036541212,"{'path': 'media/images/diagnostics/loss_plot_1500_86b76c52c77d5cd74fb1.png', 'sha256': '86b76c52c77d5cd74fb1ea4b0d276a28afd6c77cc5b0f37f66ba7515bd83d83a', 'size': 340580, 'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png'}",1154.486596437,1785137460.0683255,26.86545240893067,3000,3000,0.1295960210274619
d0c2f96b,llrd_stable_bf16_cohere-ar,22.84247875213623,77.46656573303054,79.93707060813904,57.09459185600281,0.31847680626231184,0.12361670630025891,,1401.073000629,1785137836.1277204,23.193301997649822,4500,4500,0.11960466042734817
d0c2f96b,llrd_stable_bf16_cohere-ar,26.252061128616333,76.98713096139288,82.0099949836731,55.75793385505676,0.290625819978979,0.1270487787684546,"{'sha256': 'a648b83d51582f8a4fab5a17d61bf88e41834fdffecd4c5fb709cd55e1c4be55', 'size': 418982, 'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_4500_a648b83d51582f8a4fab.png'}",1905.385651956,1785138215.857691,28.363689776733253,6000,6000,0.09934962389105392
d0c2f96b,llrd_stable_bf16_cohere-ar,25.396358966827393,76.60862982588948,83.84230732917786,58.445948362350464,0.2948193754698693,0.11833498618419441,,2151.400247633,1785138587.0229228,25.749118683901294,7500,7500,0.09633492708504551
d0c2f96b,llrd_stable_bf16_cohere-ar,26.715850830078125,77.51703255109766,84.22172665596008,57.50587582588196,0.2992670488498026,0.12660256986330165,"{'size': 458728, 'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_7500_ed23bd85bc2b0503d62f.png', 'sha256': 'ed23bd85bc2b0503d62ff238af53df50dd828d1a7c4a2b080aae3a6b3cc68702'}",2655.948900293,1785138966.3253605,27.012338425381905,9000,9000,0.09362148100662065
d0c2f96b,llrd_stable_bf16_cohere-ar,26.125234365463257,77.69366641433257,84.52711701393127,58.40188264846802,0.2931961722820998,0.12248170936600798,,2894.901593023,1785139337.5907524,25.807873090481788,10500,10500,0.09310314260475963
d0c2f96b,llrd_stable_bf16_cohere-ar,26.587194204330444,77.69366641433257,84.6659243106842,58.07873010635376,0.3021864733215356,0.1268778836480799,"{'sha256': '9414e12cf5e8f91e87782858117b61c1e6dc81b1413f9e41a5ed3031103f1ff8', 'size': 495579, 'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png', 'path': 'media/images/diagnostics/loss_plot_10500_9414e12cf5e8f91e8778.png'}",3398.850089093,1785139709.5807583,25.91069330199765,12000,12000,0.09156279773684456
d0c2f96b,llrd_stable_bf16_cohere-ar,26.61144733428955,76.76003028009085,85.17490029335022,58.56345295906067,0.3044569755448822,0.12575938691754535,,3640.477013348,1785140080.4916892,26.131022326674504,13500,13500,0.08800426080019932
d0c2f96b,llrd_stable_bf16_cohere-ar,26.381272077560425,76.43199596265455,85.09161472320557,58.71034264564514,0.30547733571236185,0.12696138792459005,"{'path': 'media/images/diagnostics/loss_plot_13500_2e8f5add6d1c89c648c8.png', 'sha256': '2e8f5add6d1c89c648c8bee36a6f774345f71b50228a6c28f31689a36b4d155b', 'size': 513723, 'height': 2090, 'width': 1210, '_type': 'image-file', 'format': 'png'}",3779.383968254,1785140455.1665592,25.763807285546413,15000,15000,0.08956492711302816
